id,listnum,category,item,rt
11111,1,animal,dog,3873
11111,1,animal,cat,1334
11111,1,animal,pig,3688
11111,1,animal,horse,2512
11111,1,animal,elephant,3592
11111,1,animal,giraffe,1968
11111,1,animal,goat,1273
11111,1,animal,llama,5144
11111,1,animal,snake,5049
11111,1,animal,penguin,5703
11111,1,animal,hamster,7688
11111,1,animal,bunny,6209
11111,1,animal,iguana,5200
11111,1,animal,whale,8057
11111,1,animal,dolphin,2583
11111,1,animal,shark,1512
11111,1,animal,rhinoceros,20745
11111,1,animal,mouse,12369
11111,1,animal,turtle,6946
11111,1,animal,farrot,15438
11111,1,animal,guinea pigs,9777
11111,1,animal,tiger,5184
11111,1,animal,lion,952
11111,1,animal,bear,3616
11111,1,animal,deer,2552
11111,1,animal,owl,9025
11111,1,animal,panda,3680
11111,1,animal,hawk,3456
11111,2,animal,dog,10003
11111,2,animal,cat,690
11111,2,animal,guinea pig,2638
11111,2,animal,rabbit,1264
11111,2,animal,mouse,1256
11111,2,animal,rat,786
11111,2,animal,bat,1014
11111,2,animal,raccoon,6065
11111,2,animal,squirrel,2344
11111,2,animal,chipmunk,2000
11111,2,animal,elephant,4152
11111,2,animal,tiger,792
11111,2,animal,bear,896
11111,2,animal,lion,928
11111,2,animal,panda,4160
11111,2,animal,koala,2216
11111,2,animal,penguin,2288
11111,2,animal,whale shark,1504
11111,2,animal,dolphin,3833
11111,2,animal,zebra,2264
11111,2,animal,sting ray,4448
11111,2,animal,snake,7240
11111,2,animal,farrot,8833
11111,2,animal,kangaroo,17601
11111,2,animal,frog,3264
11111,2,animal,turtle,1792
11111,2,animal,hawk,5288
11111,2,animal,deer,1208
11111,2,animal,cayote,5089
11111,2,animal,rhinoceros,15816
11111,2,animal,hippo,5520
11111,2,animal,monkey,4328
11111,2,animal,chimpanzee,4977
11111,2,animal,llama,5592
11111,2,animal,sheep,1488
11111,2,animal,pig,1353
11111,2,animal,goat,775
11111,2,animal,horse,1968
11111,2,animal,cow,4664
11111,2,animal,iguana,7241
11111,2,animal,peacock,3248
11111,2,animal,chicken,4800
11111,2,animal,turkey,2784
11111,3,animal,dog,3465
11111,3,animal,cat,719
11111,3,animal,giraffe,2049
11111,3,animal,lion,936
11111,3,animal,tiger,1313
11111,3,animal,bear,855
11111,3,animal,deer,952
11111,3,animal,cayote,1704
11111,3,animal,rabbit,1896
11111,3,animal,hawk,936
11111,3,animal,owl,1992
11111,3,animal,panda,920
11111,3,animal,koala,2818
11111,3,animal,kangaroo,1934
11111,3,animal,horse,1280
11111,3,animal,cow,744
11111,3,animal,pig,744
11111,3,animal,goat,1210
11111,3,animal,sheep,1438
11111,3,animal,llama,1073
11111,3,animal,turkey,8248
11111,3,animal,chicken,1032
11111,3,animal,peacock,3224
11111,3,animal,snake,4304
11111,3,animal,shark,801
11111,3,animal,dolphin,1703
11111,3,animal,whale,1348
11111,3,animal,sting ray,4085
11111,3,animal,penguin,3488
11111,3,animal,jaguar,3824
11111,3,animal,duck,5328
11111,3,animal,hen,3777
11111,3,animal,pig,6040
11111,3,animal,walrus,8752
11111,3,animal,eel,11233
11111,3,animal,octopus,3928
11111,3,animal,farrot,22633
11111,3,animal,guinea pig,4312
11111,3,animal,chipmunk,3144
11111,3,animal,squirrel,1888
11111,3,animal,bird,6217
11111,3,animal,frog,22329
11111,3,animal,ostrich,17553
11112,1,animal,dog,3077
11112,1,animal,cat,595
11112,1,animal,monkey,1501
11112,1,animal,whale,1192
11112,1,animal,baboon,2562
11112,1,animal,snake,686
11112,1,animal,leopard,6048
11112,1,animal,lion,1512
11112,1,animal,jaguar,1816
11112,1,animal,rhino,2721
11112,1,animal,bird,1615
11112,1,animal,eagle,897
11112,1,animal,raven,976
11112,1,animal,orangutang,9144
11112,1,animal,goldendoodle,7688
11112,1,animal,poodle,1089
11112,1,animal,siamese cat,7592
11112,1,animal,polar bear,6985
11112,1,animal,grizzly bear,2167
11112,1,animal,German shepard,11625
11112,1,animal,sheep,1072
11112,1,animal,goose,2984
11112,1,animal,duck,1360
11112,1,animal,fish,1456
11112,1,animal,shark,1000
11112,1,animal,great white shark,6688
11112,1,animal,orca,3577
11112,1,animal,octopus,8184
11112,1,animal,squid,1480
11112,1,animal,donkey,10049
11112,1,animal,mule,2376
11112,1,animal,horse,2648
11112,1,animal,cow,632
11112,1,animal,pig,2888
11112,1,animal,chicken,1776
11112,1,animal,rabbit,5966
11112,1,animal,squirrel,3307
11112,1,animal,hippopotamus,7296
11112,1,animal,giraffe,1328
11112,1,animal,penguin,16041
11112,1,animal,emu,1920
11112,1,animal,ostrich,1312
11112,1,animal,turtle,12272
11112,1,animal,tortoise,2056
11112,1,animal,crow,8377
11112,2,animal,cow,4316
11112,2,animal,sheep,991
11112,2,animal,wolf,1648
11112,2,animal,bear,1033
11112,2,animal,grizzly bear,4192
11112,2,animal,moose,1160
11112,2,animal,dog,904
11112,2,animal,cat,584
11112,2,animal,kitten,4073
11112,2,animal,puppy,1007
11112,2,animal,goldendoodle,2704
11112,2,animal,monkey,2360
11112,2,animal,ape,2488
11112,2,animal,orangutang,2392
11112,2,animal,horse,2945
11112,2,animal,bird,2128
11112,2,animal,fish,751
11112,2,animal,crow,2026
11112,2,animal,eagle,943
11112,2,animal,raven,1033
11112,2,animal,perch,4095
11112,2,animal,owl,680
11112,2,animal,squirrel,2465
11112,2,animal,rabbit,1375
11112,2,animal,monkey,3561
11112,2,animal,giraffe,1808
11112,2,animal,bat,800
11112,2,animal,shark,7736
11112,2,animal,great white shark,4032
11112,2,animal,whale,880
11112,2,animal,orca,896
11112,2,animal,octopus,2688
11112,2,animal,squid,1761
11112,2,animal,blowfish,4696
11112,2,animal,jellyfish,2570
11112,2,animal,emu,3630
11112,2,animal,ostrich,1488
11112,2,animal,hyena,19345
11112,2,animal,black bear,5416
11112,2,animal,badger,2856
11112,2,animal,buck,6361
11112,2,animal,doe,664
11112,2,animal,deer,945
11112,2,animal,chicken,3575
11112,2,animal,duck,3480
11112,2,animal,elk,5945
11112,2,animal,Persian cat,11392
11112,2,animal,rhino,5840
11112,2,animal,hippopotamus,4313
11112,2,animal,tiger,7768
11112,2,animal,jaguar,1264
11112,3,animal,dogs,2769
11112,3,animal,cats,832
11112,3,animal,sheep,1033
11112,3,animal,wolf,1000
11112,3,animal,hyena,1598
11112,3,animal,hippopotamus,5202
11112,3,animal,giraffe,3583
11112,3,animal,jaguar,1088
11112,3,animal,snake,1480
11112,3,animal,lizard,1153
11112,3,animal,Komodo dragon,3191
11112,3,animal,bird,4377
11112,3,animal,eagle,746
11112,3,animal,crow,686
11112,3,animal,raven,2672
11112,3,animal,pigeon,1568
11112,3,animal,bat,1768
11112,3,animal,worm,2456
11112,3,animal,insect,1128
11112,3,animal,bee,696
11112,3,animal,hornet,953
11112,3,animal,wasps,1343
11112,3,animal,shark,896
11112,3,animal,whale,872
11112,3,animal,fish ,1129
11112,3,animal,great white shark,2792
11112,3,animal,jellyfish,1800
11112,3,animal,orca,4760
11112,3,animal,monkey,5017
11112,3,animal,ape,591
11112,3,animal,orangutang,2088
11112,3,animal,polar bear,2544
11112,3,animal,penguin,1184
11112,3,animal,bonobo,6353
11112,3,animal,catfish,4641
11112,3,animal,beluga whale,6543
11112,3,animal,golden retriever,4088
11112,3,animal,kitten,2217
11112,3,animal,Persian cat,1488
11112,3,animal,siamese cat,2551
11112,3,animal,quail,8521
11112,3,animal,peacock,1896
11112,3,animal,koala,2016
11112,3,animal,hippopotamus,22881
11112,3,animal,llama,4770
11112,3,animal,grizzly bear,6383
11112,3,animal,black bear,1720
11112,3,animal,dolphin,3713
11112,3,animal,coyote,5143
11112,3,animal,emu,2632
11112,3,animal,ostrich,1362
11112,3,animal,rhino,2615
11112,3,animal,bug,6368
11113,1,animal,dog,72500
11113,1,animal,cat,2023
11113,1,animal,swardfish,2480
11113,1,animal,girraffe,5393
11113,1,animal,shark,5464
11113,1,animal,whale,1720
11113,1,animal,duck,9584
11113,1,animal,parrot,5216
11113,1,animal,elephant,6409
11113,1,animal,zebra,2233
11113,1,animal,goldfish,5016
11113,1,animal,butterfly,5439
11113,1,animal,frog,2529
11113,1,animal,rat,4376
11113,1,animal,mouse ,2696
11113,1,animal,fly,2992
11113,1,animal,squid,3570
11113,1,animal,octopus,5590
11113,1,animal,fish,10801
11113,1,animal,lion,3976
11113,1,animal,tiger,1664
11113,1,animal,anacanda,7048
11113,1,animal,rattlesnack,3641
11113,1,animal,badger,2888
11113,1,animal,pecock,5208
11113,2,animal,caterpillar,6300
11113,2,animal,butterfly,2511
11113,2,animal,fly,2745
11113,2,animal,shark,1472
11113,2,animal,swardfish,3504
11113,2,animal,whale,2496
11113,2,animal,blue whale,4208
11113,2,animal,killer whale,3224
11113,2,animal,sperm whale,3896
11113,2,animal,cat,1745
11113,2,animal,mountain cat,3560
11113,2,animal,mountain lion,3376
11113,2,animal,dog,1387
11113,2,animal,tiger,3349
11113,2,animal,panda,3907
11113,2,animal,wolf,5333
11113,2,animal,zebra,6017
11113,2,animal,moose ,3624
11113,2,animal,snail,4040
11113,2,animal,goldfish,5520
11113,2,animal,pufferfish,3488
11113,2,animal,turtle,2385
11113,2,animal,hourse,5256
11113,2,animal,donkey,2696
11113,2,animal,bee,984
11113,2,animal,rat,8752
11113,2,animal,goose,2248
11113,2,animal,chicken,7793
11113,2,animal,cow,817
11113,2,animal,blubber fish,10367
11113,2,animal,bull,3488
11113,2,animal,monkey,6289
11113,2,animal,gorrilla,1568
11113,2,animal,Kuala ,25521
11113,2,animal,unicorn,3280
11113,2,animal,hourse,12624
11113,2,animal,rabbit,6897
11113,3,animal,cat,5135
11113,3,animal,mouse,1784
11113,3,animal,killer whale,8888
11113,3,animal,blue whale,2953
11113,3,animal,sperm whale,7168
11113,3,animal,blue shark,3472
11113,3,animal,hammer head shark,4561
11113,3,animal,octopus ,6463
11113,3,animal,squid,4041
11113,3,animal,dog,7536
11113,3,animal,husky,1592
11113,3,animal,duck,7848
11113,3,animal,cammel,1776
11113,3,animal,dragon,6409
11113,3,animal,butter fly,6640
11113,3,animal,catterpillar,3424
11113,3,animal,garrila,5593
11113,3,animal,monkey,3808
11113,3,animal,gator,2376
11113,3,animal,swardfish,3384
11113,3,animal,elephant,3168
11113,3,animal,girraffe,3168
11113,3,animal,mountain lion,3328
11113,3,animal,tiger,1696
11113,3,animal,ram,1136
11113,3,animal,bear,2705
11113,3,animal,penguin,1816
11113,3,animal,jaguar,7099
11113,3,animal,eagles,10782
11113,3,animal,seals,4352
11113,3,animal,snail,8072
11113,3,animal,boluga whale,7272
11113,3,animal,crab,5753
11113,3,animal,clams,18704
11114,1,animal,dog,9415
11114,1,animal,cat,1807
11114,1,animal,snake,3024
11114,1,animal,gorilla,1576
11114,1,animal,aardvark,3281
11114,1,animal,kangaroo,1800
11114,1,animal,turtle,1328
11114,1,animal,fish,13481
11114,1,animal,penguin,2400
11114,1,animal,lion,1176
11114,1,animal,tiger,824
11114,1,animal,jaguar,1296
11114,1,animal,panther,1264
11114,1,animal,mole,10441
11114,1,animal,turkey,6328
11114,1,animal,pig,2246
11114,1,animal,chicken,1619
11114,1,animal,ox,6184
11114,1,animal,goat,1040
11114,1,animal,elephant,12849
11114,1,animal,giraffe,1272
11114,1,animal,hyena,6097
11114,1,animal,deer,8048
11114,1,animal,jellyfish,19905
11114,1,animal,snail,15673
11114,1,animal,slug,992
11114,1,animal,seal,16849
11114,1,animal,orca,2448
11114,1,animal,chameleon,10824
11114,1,animal,frog,4664
11114,1,animal,sloth,1928
11114,2,animal,dog,5216
11114,2,animal,cat,968
11114,2,animal,aardvark,3152
11114,2,animal,mouse,1688
11114,2,animal,rat,660
11114,2,animal,rabbit,2540
11114,2,animal,ostrich,6121
11114,2,animal,flamingo,4407
11114,2,animal,goat,2193
11114,2,animal,cow,1928
11114,2,animal,ox,1944
11114,2,animal,hen,1088
11114,2,animal,chicken,1312
11114,2,animal,pig,2176
11114,2,animal,turkey,7457
11114,2,animal,whale,7786
11114,2,animal,shark,934
11114,2,animal,jellyfish,3424
11114,2,animal,dolhpin,3113
11114,2,animal,penguin,2175
11114,2,animal,seal,2354
11114,2,animal,bear,5783
11114,2,animal,deer,3992
11114,2,animal,fox,1032
11114,2,animal,moose,7625
11114,2,animal,chipmunk,2767
11114,2,animal,squirrel,1858
11114,2,animal,camel,9391
11114,2,animal,sloth,14649
11114,2,animal,chimpanzee,6728
11114,2,animal,gorilla,2794
11114,2,animal,snake,18047
11114,2,animal,otter,8809
11114,2,animal,snail,8152
11114,2,animal,slug,872
11114,3,animal,dog,3610
11114,3,animal,cat,576
11114,3,animal,horse,2249
11114,3,animal,chicken,1439
11114,3,animal,pig,888
11114,3,animal,cow,632
11114,3,animal,bull,2880
11114,3,animal,ox,1314
11114,3,animal,aardvark,2079
11114,3,animal,anteater,1472
11114,3,animal,frog,1872
11114,3,animal,sloth,952
11114,3,animal,slug,1560
11114,3,animal,snail,3352
11114,3,animal,deer,2264
11114,3,animal,bear,816
11114,3,animal,moose,840
11114,3,animal,wolf,2272
11114,3,animal,hyena,2496
11114,3,animal,giraffe,2329
11114,3,animal,elephant,1383
11114,3,animal,panda,5953
11114,3,animal,chimpanzee,5872
11114,3,animal,monkey,2921
11114,3,animal,gorilla,1183
11114,3,animal,shark,2840
11114,3,animal,whale,3065
11114,3,animal,turtle,1409
11114,3,animal,fish,3903
11114,3,animal,dolphin,4056
11114,3,animal,eel,2120
11114,3,animal,manta ray,3594
11114,3,animal,camel,54442
11114,3,animal,mouse,10208
11114,3,animal,rat,640
11114,3,animal,leopard,8457
11114,3,animal,lion,1360
11114,3,animal,puma,3728
11114,3,animal,panther,2536
11115,1,animal,dog,3741
11115,1,animal,cat,1680
11115,1,animal,mouse,2818
11115,1,animal,rat,926
11115,1,animal,cheetah,2560
11115,1,animal,lion,1330
11115,1,animal,parakeet,2838
11115,1,animal,monkey,2329
11115,1,animal,ape,528
11115,1,animal,chimpanzee,2976
11115,1,animal,racoon,5536
11115,1,animal,coyote,2200
11115,1,animal,lizard,2208
11115,1,animal,pig,1352
11115,1,animal,cow,753
11115,1,animal,sheep,1399
11115,1,animal,goat,3241
11115,1,animal,horse,1719
11115,1,animal,mule,1417
11115,1,animal,donkey,2328
11115,1,animal,ox,4408
11115,1,animal,wolf,3048
11115,1,animal,fox,2184
11115,1,animal,zebra,3936
11115,1,animal,giraffe,6449
11115,1,animal,elephant,1600
11115,1,animal,meerkat ,3944
11115,1,animal,otter,2600
11115,1,animal,seal,2128
11115,1,animal,sea lion,1768
11115,1,animal,salmon,3728
11115,1,animal,rabbit,6513
11115,1,animal,squirrel,2800
11115,1,animal,rat,800
11115,1,animal,mouse,1144
11115,1,animal,emu,5616
11115,1,animal,ostrich,5086
11115,1,animal,eagle,3906
11115,1,animal,parrot,3488
