subj,node1,node2,uinvite,rw
S103,seal,mink,1,1
S103,goose,zebra,1,1
S103,crow,duck,0,1
S103,orangutan,redpanda,1,0
S103,lion,sealion,0,1
S103,human,boar,1,1
S103,rabbit,slowloris,1,1
S103,antelope,rhinoceros,1,1
S103,catfish,whale,1,1
S103,ocelot,leopard,1,1
S103,goose,hawk,1,1
S103,sheep,alpaca,1,1
S103,bat,bee,1,1
S103,moose,hawk,1,1
S103,human,mink,1,0
S103,raptor,deer,1,1
S103,octopus,raven,1,1
S103,horse,cow,1,0
S103,piranha,tiger,1,1
S103,zebra,woolymammoth,1,0
S103,wolf,snake,1,1
S103,monkey,gorilla,1,0
S103,hippopotamus,rhinoceros,1,0
S103,crane,mouse,1,1
S103,duck,fly,1,1
S103,zebra,gerbil,1,1
S103,redpanda,donkey,1,0
S103,tick,hawk,1,1
S103,zebra,gorilla,1,1
S103,lion,zebra,1,1
S103,cranefly,crow,1,1
S103,sloth,slowloris,1,1
S103,sloth,dog,1,1
S103,lion,hippopotamus,0,1
S103,swan,seacow,1,0
S103,human,lion,1,0
S103,hamster,gerbil,1,1
S103,crow,raven,1,1
S103,mantis,ocelot,1,1
S103,goldfish,snake,1,1
S103,lion,elephant,1,0
S103,human,wolf,1,0
S103,cranefly,fly,1,1
S103,sloth,gerbil,1,0
S103,dolphin,whale,1,0
S103,swan,hawk,0,1
S103,llama,dolphin,1,0
S103,otter,polarbear,1,1
S103,seacow,mouse,1,0
S103,swan,goose,1,0
S103,lemur,boar,0,1
S103,human,cat,1,1
S103,lion,wolf,0,1
S103,horse,deer,0,1
S103,piranha,mantis,1,1
S103,llama,redpanda,1,1
S103,sugarglider,hyena,1,1
S103,squirrel,chipmunk,1,1
S103,cat,dog,1,1
S103,chicken,seacow,1,1
S103,orangutan,gorilla,0,1
S103,boar,pig,1,1
S103,seacow,deer,1,0
S103,monkey,bear,1,1
S103,sloth,koala,1,1
S103,otter,seal,1,1
S103,eagle,bluejay,1,1
S103,tiger,cheetah,1,1
S103,sealion,belugawhale,1,1
S103,polarbear,dolphin,1,1
S103,marmoset,dinosaur,1,1
S103,sealion,seagull,1,1
S103,mantis,rhinoceros,1,1
S103,seacow,cow,1,1
S103,squirrel,deer,1,1
S103,goat,giraffe,1,1
S103,ocelot,tiger,0,1
S103,cheetah,leopard,1,1
S103,weasel,mink,1,1
S103,raven,mink,1,1
S103,gerbil,mouse,0,1
S103,cranefly,crane,1,1
S103,ocelot,snake,1,1
S103,penguin,dolphin,1,1
S103,zebra,elephant,0,1
S103,tick,snail,1,1
S103,redpanda,gorilla,1,0
S103,marmoset,human,1,1
S103,hamster,alpaca,1,1
S103,parrot,hawk,0,1
S103,mule,giraffe,1,1
S103,cow,pig,1,1
S103,rat,bear,1,1
S103,seal,mantis,1,1
S103,blackheadedgull,seagull,1,1
S103,alpaca,capybara,1,1
S103,ferret,hamster,1,1
S103,horse,chimpanzee,0,1
S103,wolf,cheetah,0,1
S103,panda,redpanda,1,1
S103,turtle,lion,1,1
S103,weasel,polarbear,1,0
S103,panda,donkey,0,1
S103,seacow,kangaroo,1,1
S103,eagle,crane,1,1
S103,mouse,dog,1,1
S103,wolf,mink,0,1
S103,blackheadedgull,sugarglider,1,1
S103,belugawhale,whale,1,1
S103,seacow,horse,1,1
S103,deer,slowloris,1,1
S103,bat,panda,1,1
S103,piranha,flyingsquirrel,1,1
S103,human,dog,0,1
S103,yellowjacket,hyena,1,1
S103,sheep,goat,1,1
S103,eagle,hawk,1,1
S103,human,bear,1,1
S103,seal,sealion,1,1
S103,redpanda,horse,1,0
S103,lion,belugawhale,1,0
S103,turtle,slowloris,1,1
S103,rat,mouse,1,1
S104,elephant,lemur,1,1
S104,python,platypus,1,1
S104,ferret,mouse,0,1
S104,wildebeest,elk,0,1
S104,pandabear,platypus,1,1
S104,groundhog,raccoon,1,1
S104,ferret,lemur,0,1
S104,pandabear,grizzlybear,1,1
S104,wildebeest,deer,1,1
S104,pig,hedgehog,1,1
S104,elephant,horse,1,1
S104,baldeagle,buffalo,0,1
S104,platypus,buffalo,1,0
S104,rabbit,anaconda,1,0
S104,polarbear,lion,0,1
S104,python,koalabear,1,1
S104,dolphin,trout,1,1
S104,boar,skunk,1,0
S104,baldeagle,opossum,1,1
S104,raccoon,skunk,0,1
S104,deer,scorpion,1,1
S104,crab,fox,0,1
S104,mongoose,grizzlybear,1,1
S104,groundhog,hedgehog,1,1
S104,woodpecker,baldeagle,1,1
S104,rabbit,pig,0,1
S104,lobster,scorpion,1,1
S104,polarbear,cougar,0,1
S104,pig,anaconda,1,0
S104,scorpion,platypus,1,1
S104,dolphin,greatwhiteshark,1,1
S104,crocodile,anaconda,1,1
S104,otter,lemur,0,1
S104,tiger,cougar,1,1
S104,squirrel,lemur,1,1
S104,mongoose,cougar,1,1
S104,caribou,moose,1,1
S104,octopus,jellyfish,1,1
S104,boar,ferret,0,1
S104,cat,horse,1,1
S104,ferret,wolverine,1,0
S104,parrot,buffalo,0,1
S104,tiger,lion,1,1
S104,polarbear,fox,1,1
S104,pandabear,koalabear,1,1
S104,bluewhale,dolphin,1,1
S104,greatwhiteshark,elephant,1,1
S104,python,pig,1,1
S104,lion,elephant,1,0
S104,ferret,rabbit,0,1
S104,opossum,buffalo,1,0
S104,bluewhale,elephant,1,1
S104,ferret,skunk,1,0
S104,boar,platypus,1,0
S104,otter,baldeagle,1,1
S104,moose,skunk,1,1
S104,polarbear,koalabear,1,1
S104,marmot,killerwhale,1,1
S104,bluejay,woodpecker,1,1
S104,opossum,skunk,1,0
S104,parrot,anaconda,1,1
S104,elk,caribou,1,1
S104,owl,trout,1,1
S104,otter,groundhog,1,0
S104,cat,dog,1,1
S104,lion,opossum,0,1
S104,python,anaconda,1,1
S104,ferret,pig,0,1
S104,opossum,cougar,1,1
S104,badger,wolverine,1,1
S104,boar,pig,0,1
S104,porcupine,hedgehog,0,1
S104,ferret,anaconda,1,0
S104,dolphin,penguin,1,1
S104,lobster,trout,1,1
S104,deer,platypus,1,1
S104,wildebeest,elephant,1,1
S104,wildebeest,buffalo,1,1
S104,dolphin,fox,1,1
S104,trout,hedgehog,1,1
S104,porcupine,buffalo,1,1
S104,wildebeest,moose,1,0
S104,crocodile,platypus,1,1
S104,groundhog,lemur,1,0
S104,lobster,jellyfish,1,1
S104,goat,penguin,1,1
S104,opossum,raccoon,1,1
S104,fox,trout,1,0
S104,bluejay,marmot,1,1
S104,python,skunk,1,1
S104,sheep,deer,0,1
S104,owl,fox,0,1
S104,owl,ferret,0,1
S104,lemur,skunk,0,1
S104,wolverine,baldeagle,1,1
S104,parrot,deer,1,1
S104,squirrel,groundhog,0,1
S104,platypus,alligator,1,1
S104,crab,lobster,1,1
S104,killerwhale,greatwhiteshark,1,1
S104,polarbear,tiger,1,1
S104,crocodile,alligator,1,1
S104,porcupine,pig,1,1
S104,scorpion,alligator,0,1
S104,parrot,mouse,1,1
S104,tiger,buffalo,1,1
S104,porcupine,starfish,1,1
S104,badger,lemur,1,1
S104,crab,starfish,1,1
S104,crab,octopus,0,1
S104,boar,sheep,1,1
S104,ferret,koalabear,1,0
S105,whale,ostrich,1,1
S105,shark,octopus,0,1
S105,donkey,lion,1,1
S105,pig,cow,1,1
S105,donkey,horse,1,1
S105,rat,snake,1,1
S105,elephant,lion,1,1
S105,dolphin,dog,0,1
S105,fish,ostrich,0,1
S105,turtle,zebra,1,1
S105,donkey,leopard,0,1
S105,lion,ostrich,1,1
S105,fish,dog,0,1
S105,sheep,wolf,1,1
S105,chicken,octopus,1,1
S105,pig,chicken,1,1
S105,horse,bat,1,1
S105,snake,cow,0,1
S105,cow,chicken,1,1
S105,sheep,horse,1,1
S105,elephant,giraffe,1,1
S105,horse,cow,1,0
S105,pig,horse,0,1
S105,dog,cat,1,1
S105,shark,fish,0,1
S105,gerbil,cat,1,1
S105,whale,dolphin,1,1
S105,rat,mouse,1,1
S105,whale,ant,1,1
S105,hippopotamus,zebra,1,0
S105,dolphin,cow,1,1
S105,shark,whale,1,0
S105,elephant,ant,1,1
S105,lion,leopard,1,1
S105,elephant,fish,1,1
S105,donkey,zebra,1,1
S105,shark,dolphin,0,1
S105,hippopotamus,ostrich,0,1
S105,leopard,giraffe,0,1
S105,fish,cat,1,1
S105,sheep,cow,1,1
S105,hippopotamus,elephant,0,1
S105,giraffe,dog,1,1
S105,elephant,leopard,0,1
S105,lion,giraffe,0,1
S105,gerbil,mouse,1,1
S105,bat,skunk,1,1
S105,giraffe,zebra,1,1
S106,pig,chicken,1,1
S106,possum,cow,1,1
S106,alligator,elephant,1,1
S106,coyote,penguin,0,1
S106,possum,rabbit,0,1
S106,possum,raccoon,1,0
S106,mouse,armadillo,1,1
S106,polarbear,flamingo,1,1
S106,horse,giraffe,0,1
S106,kangaroo,skunk,1,1
S106,hawk,eagle,1,1
S106,hawk,bear,1,1
S106,horse,lion,1,1
S106,hawk,coyote,1,1
S106,panda,kangaroo,1,1
S106,chicken,buffalo,1,1
S106,squirrel,raccoon,1,1
S106,lemur,buffalo,1,1
S106,elephant,bear,0,1
S106,giraffe,coyote,0,1
S106,elephant,lion,1,1
S106,possum,dog,1,1
S106,possum,skunk,1,1
S106,giraffe,chicken,0,1
S106,coyote,lemur,1,1
S106,elephant,giraffe,1,1
S106,horse,cow,1,0
S106,duck,walrus,1,1
S106,alligator,rabbit,1,1
S106,horse,snake,1,1
S106,dog,cat,1,1
S106,pig,penguin,0,1
S106,alligator,penguin,1,0
S106,mouse,bat,1,1
S106,mouse,eagle,1,1
S106,elephant,pig,1,1
S106,alligator,walrus,0,1
S106,hawk,penguin,1,1
S106,squirrel,bat,0,1
S106,polarbear,penguin,1,1
S106,armadillo,skunk,1,1
S106,lion,dog,1,1
S106,bear,tiger,1,1
S106,lion,tiger,1,1
S106,tiger,bat,1,1
S106,gerbil,giraffe,1,1
S106,horse,elephant,0,1
S106,duck,flamingo,1,1
S106,bat,dog,1,1
S106,alligator,panda,1,1
S106,gerbil,mouse,1,1
S106,pig,cow,1,0
S106,cow,raccoon,0,1
S107,bulldog,rhinoceros,1,0
S107,sparrow,hawk,1,1
S107,horse,donkey,1,1
S107,flamingo,toad,1,1
S107,porpoise,waterbuffalo,1,1
S107,stork,robin,1,1
S107,chicken,bat,1,1
S107,jaguar,leopard,1,1
S107,snappingturtle,seaturtle,1,1
S107,ferret,rat,1,1
S107,sparrow,robin,1,1
S107,pelican,stork,1,1
S107,beagle,wolfhound,1,1
S107,octopus,squid,1,1
S107,giraffe,oryx,1,1
S107,donkey,narwhal,1,0
S107,skate,greatwhiteshark,1,1
S107,orangutan,chimpanzee,1,1
S107,jaguar,cheetah,0,1
S107,tiger,whale,1,1
S107,frog,toad,1,1
S107,chimpanzee,gorilla,0,1
S107,bulldog,tiger,1,1
S107,stingray,jellyfish,1,1
S107,panther,leopard,1,0
S107,flamingo,wolf,1,1
S107,kangaroo,rat,1,1
S107,lion,tiger,1,1
S107,turtle,stork,1,1
S107,panther,tiger,0,1
S107,skate,rattlesnake,1,1
S107,tiger,catamount,1,0
S107,jaguar,panther,1,1
S107,elephant,hyena,0,1
S107,cat,dog,1,1
S107,seal,manatee,0,1
S107,cow,horse,1,1
S107,cheetah,leopard,1,1
S107,fox,waterbuffalo,1,1
S107,bison,greatwhiteshark,1,1
S107,giraffe,capybara,0,1
S107,antelope,rhinoceros,1,0
S107,fox,manatee,1,1
S107,panda,kangaroo,0,1
S107,lemur,orangutan,1,1
S107,salmon,seaturtle,1,1
S107,orangutan,deer,1,1
S107,panther,boar,1,1
S107,humpbackwhale,narwhal,0,1
S107,puma,cougar,1,1
S107,bison,cougar,1,1
S107,jaguar,stork,1,0
S107,octopus,jellyfish,1,1
S107,giraffe,buffalo,1,1
S107,tuna,leopard,1,1
S107,manatee,narwhal,1,1
S107,fox,wolfhound,1,1
S107,jaguar,capybara,1,1
S107,oryx,capybara,1,0
S107,sheep,goat,1,1
S107,lion,elephant,1,1
S107,greatwhiteshark,hammerheadshark,1,1
S107,orca,manatee,1,1
S107,seal,narwhal,1,1
S107,stork,elephant,1,0
S107,chicken,donkey,0,1
S107,puma,gorilla,1,1
S107,cougar,chimpanzee,1,1
S107,antelope,oryx,1,1
S107,bulldog,hyena,1,0
S107,chicken,sheep,0,1
S107,bat,cod,1,1
S107,manatee,cow,1,1
S107,whale,narwhal,1,1
S107,horse,deer,1,1
S107,flamingo,robin,1,1
S107,flamingo,stork,1,1
S107,chicken,cow,1,1
S107,fish,buffalo,1,1
S107,puma,cheetah,1,1
S107,panther,cheetah,1,0
S107,mouse,capybara,1,1
S107,puma,catamount,1,1
S107,rat,mouse,1,1
S107,salmon,hammerheadshark,1,1
S107,tiger,cheetah,1,0
S107,orca,koala,1,1
S107,orca,narwhal,1,0
S107,hippopotamus,catamount,1,1
S107,antelope,hyena,0,1
S107,donkey,goat,0,1
S107,fox,wolf,1,1
S107,cod,tuna,1,1
S107,lion,leopard,1,1
S107,salmon,tuna,1,1
S107,rattlesnake,hyena,1,1
S107,bison,sheep,1,1
S107,panther,narwhal,1,0
S107,bluewhale,narwhal,1,1
S107,giraffe,leopard,1,1
S107,panther,donkey,0,1
S107,stork,hyena,1,1
S107,hippopotamus,hyena,0,1
S107,jaguar,hyena,0,1
S107,greatwhiteshark,bluewhale,1,1
S107,panda,koala,1,1
S107,turtle,toad,1,1
S107,manatee,lemur,1,0
S107,panda,rat,1,0
S107,fish,dog,1,1
S107,sheep,donkey,0,1
S107,ferret,panda,0,1
S107,stingray,pelican,1,1
S107,sheep,robin,1,1
S107,sealion,manatee,1,1
S107,elephant,cheetah,0,1
S107,lion,cheetah,1,1
S107,eagle,stork,0,1
S107,rhinoceros,cheetah,0,1
S107,tiger,rhinoceros,0,1
S107,hippopotamus,rhinoceros,1,1
S107,bison,squid,1,1
S107,boxturtle,bobcat,1,1
S107,orca,humpbackwhale,1,1
S107,boxturtle,snappingturtle,1,1
S107,wolf,bobcat,1,1
S107,rattlesnake,frog,1,1
S107,sheep,horse,1,1
S107,eagle,hawk,1,1
S107,jaguar,cougar,1,1
S107,seal,sealion,1,1
S107,fox,lemur,0,1
S107,cat,bear,1,1
S108,fish,rooster,1,1
S108,camel,donkey,1,1
S108,chicken,pig,1,1
S108,mammoth,sloth,1,1
S108,zebra,hippopotamus,1,1
S108,bear,wolf,1,1
S108,shark,whale,1,1
S108,bat,whale,1,1
S108,chicken,cat,1,0
S108,otter,chipmunk,1,1
S108,chinchilla,rabbit,1,1
S108,parrot,hippopotamus,0,1
S108,parrot,sheep,1,1
S108,sheep,ram,1,1
S108,goose,chicken,0,1
S108,owl,ape,1,1
S108,shark,dolphin,1,1
S108,turtle,lizard,1,0
S108,lion,tiger,1,1
S108,walrus,manatee,1,1
S108,fox,dolphin,1,0
S108,otter,beaver,1,1
S108,crocodile,lizard,0,1
S108,turtle,rabbit,1,1
S108,alligator,elephant,1,1
S108,rabbit,rooster,1,1
S108,turtle,gazelle,1,0
S108,cow,horse,1,0
S108,camel,lizard,1,1
S108,emu,rat,1,1
S108,orca,dolphin,1,1
S108,snake,hamster,1,1
S108,goose,octopus,1,1
S108,giraffe,ostrich,1,1
S108,cow,buffalo,1,1
S108,orca,seal,0,1
S108,chicken,rooster,1,1
S108,emu,ostrich,1,1
S108,sheep,pig,1,1
S108,monkey,gorilla,1,1
S108,snake,mouse,1,1
S108,turtle,rat,0,1
S108,parrot,hamster,1,1
S108,chipmunk,gorilla,1,1
S108,crocodile,chinchilla,0,1
S108,duck,horse,1,1
S108,dolphin,manatee,1,1
S108,hippopotamus,mouse,0,1
S108,tiger,otter,1,1
S108,fox,salmon,0,1
S108,rat,gorilla,1,1
S108,wolf,sheep,1,1
S108,chipmunk,possum,1,1
S108,elephant,leopard,1,1
S108,chicken,dog,0,1
S108,horse,buffalo,0,1
S108,owl,chipmunk,0,1
S108,lion,elephant,1,0
S108,zebra,mammoth,1,1
S108,chipmunk,sloth,1,1
S108,bat,alligator,1,1
S108,dolphin,whale,1,1
S108,walrus,coyote,1,1
S108,wolf,coyote,1,1
S108,cow,ram,0,1
S108,seal,alligator,1,1
S108,cow,dog,1,1
S108,cat,dog,1,1
S108,wolf,donkey,0,1
S108,parrot,owl,1,1
S108,goose,duck,1,1
S108,rat,mouse,1,1
S108,horse,donkey,1,1
S108,tiger,cheetah,1,1
S108,bear,tiger,1,1
S108,giraffe,lion,0,1
S108,lion,leopard,0,1
S108,salmon,tuna,1,1
S108,cheetah,leopard,1,1
S108,ape,gorilla,1,1
S108,fish,shrimp,1,1
S108,turtle,ape,0,1
S108,beaver,sloth,1,1
S108,snake,turtle,1,1
S108,snake,monkey,1,1
S108,snake,lizard,1,1
S108,gazelle,cheetah,0,1
S108,cow,pig,1,1
S108,camel,elephant,1,1
S108,tuna,whale,1,1
S108,gorilla,sloth,0,1
S108,sheep,donkey,1,0
S108,octopus,shrimp,1,1
S108,leopard,possum,1,1
S108,zebra,manatee,1,0
S108,cow,sheep,0,1
S108,zebra,ram,1,0
S108,giraffe,elephant,1,1
S108,zebra,fox,0,1
S108,duck,lizard,1,1
S108,fox,manatee,1,0
S108,crocodile,alligator,1,1
S108,hippopotamus,gazelle,1,1
S108,giraffe,gazelle,1,1
S108,crocodile,turtle,1,1
S108,lion,gazelle,0,1
S108,bear,leopard,0,1
S108,bear,seal,1,1
S108,giraffe,zebra,1,0
S109,whale,ostrich,1,1
S109,shark,panda,1,1
S109,lamb,sheep,1,1
S109,bull,ox,1,1
S109,snake,gorilla,0,1
S109,pigeon,deer,1,1
S109,bear,wolf,1,1
S109,sheep,bull,1,1
S109,rat,ox,1,0
S109,duck,penguin,0,1
S109,duck,ox,1,0
S109,monkey,chimpanzee,1,1
S109,shark,whale,1,1
S109,pigeon,bat,1,1
S109,lion,dog,1,1
S109,rat,raccoon,0,1
S109,lion,tiger,1,1
S109,pigeon,penguin,1,1
S109,deer,sheep,1,1
S109,wolf,weasel,0,1
S109,cheetah,panther,1,1
S109,moose,ox,1,1
S109,camel,ox,1,1
S109,snake,raccoon,0,1
S109,rat,kangaroo,1,1
S109,parakeet,cat,1,1
S109,lamb,cow,1,1
S109,lion,bear,1,1
S109,elephant,lion,1,0
S109,chimpanzee,weasel,1,1
S109,parakeet,gorilla,1,0
S109,chicken,ostrich,1,1
S109,ox,mouse,1,0
S109,monkey,gorilla,1,1
S109,polarbear,ostrich,0,1
S109,pigeon,giraffe,0,1
S109,shark,hare,0,1
S109,parakeet,cow,1,1
S109,bull,cow,1,1
S109,elephant,penguin,0,1
S109,duck,mouse,0,1
S109,penguin,ox,1,0
S109,giraffe,wolf,0,1
S109,camel,giraffe,0,1
S109,pig,cow,1,1
S109,pig,chicken,1,1
S109,parakeet,ostrich,1,1
S109,rabbit,ox,1,1
S109,rat,moose,0,1
S109,bear,cow,1,1
S109,shark,porcupine,1,0
S109,parakeet,polarbear,1,1
S109,pigeon,ox,1,0
S109,parakeet,raccoon,1,0
S109,lion,ox,1,0
S109,elephant,giraffe,0,1
S109,duck,goose,1,1
S109,dog,cat,1,1
S109,camel,lion,0,1
S109,rat,mouse,1,0
S109,parakeet,parrot,1,1
S109,camel,moose,0,1
S109,snake,parakeet,1,0
S109,shark,camel,1,1
S109,rat,dog,1,1
S109,sheep,moose,1,1
S109,koala,polarbear,1,1
S109,rat,cow,1,1
S109,hare,porcupine,1,1
S109,polarbear,weasel,1,1
S109,lamb,goat,1,1
S109,pigeon,parakeet,1,1
S109,panda,koala,1,1
S109,giraffe,ox,1,0
S109,sheep,rabbit,1,1
S109,elephant,ox,1,0
S109,pig,goat,1,1
S109,porcupine,rabbit,1,1
S109,rat,rabbit,0,1
S109,whale,mouse,0,1
S109,panther,weasel,1,1
S109,goose,bear,1,1
S109,lion,wolf,0,1
S109,lamb,ox,1,1
S109,wolf,ox,1,0
S109,bear,tiger,0,1
S109,pigeon,parrot,1,1
S109,whale,penguin,1,1
S109,cheetah,tiger,1,1
S109,camel,bull,1,1
S110,dungbeetle,horse,1,1
S110,mole,chameleon,1,1
S110,civet,monkey,1,1
S110,mouse,tapir,1,1
S110,donkey,tapir,1,0
S110,chicken,pig,1,1
S110,iguana,chameleon,1,1
S110,leopard,basilisk,1,1
S110,llama,alpaca,1,1
S110,jaguar,leopard,1,1
S110,dungbeetle,mouse,1,0
S110,lizard,mouse,0,1
S110,chipmunk,cheetah,1,1
S110,carp,shark,1,1
S110,eagle,gorilla,1,1
S110,chicken,ape,1,1
S110,lion,tiger,1,1
S110,spider,rat,1,1
S110,deer,argali,1,1
S110,emu,ostrich,1,1
S110,chinchilla,ram,1,1
S110,dingo,leopard,1,1
S110,sheep,tapir,1,1
S110,shrew,mouse,1,1
S110,vulture,hawk,1,1
S110,sparrow,eagle,1,1
S110,lynx,ram,1,1
S110,muskox,okapi,1,1
S110,turtle,lizard,1,0
S110,cow,horse,1,0
S110,seal,cat,1,1
S110,donkey,horse,1,0
S110,donkey,cat,0,1
S110,polarbear,capybara,1,1
S110,hamster,bear,1,1
S110,lion,bear,1,0
S110,hippopotamus,hawk,1,1
S110,cow,buffalo,1,1
S110,octopus,swordfish,1,1
S110,badger,turtle,1,1
S110,dingo,hyena,1,1
S110,argali,leopard,1,1
S110,monkey,gorilla,1,0
S110,hippopotamus,rhinoceros,1,1
S110,sparrow,chameleon,1,1
S110,whale,shark,1,0
S110,cat,mouse,1,1
S110,jaguar,mink,1,1
S110,chinchilla,chameleon,0,1
S110,hamster,guineapig,1,1
S110,goat,porpoise,1,1
S110,eagle,vulture,1,1
S110,chicken,gilamonster,1,1
S110,thornydevil,marten,1,1
S110,bear,dog,1,1
S110,dungbeetle,lizard,1,1
