filename,cutoff,hit,fa,cost
dynamicmixture,0.8,51,1,343
dynamicmixture,0.85,24,0,369
dynamicmixture,0.9,1,0,392
dynamicmixture,0.95,0,0,393
dynamicmixture,1.0,0,0,393
fixdynamicp,0.0,385,10485,10493
fixdynamicp,0.05,385,10485,10493
fixdynamicp,0.1,381,10457,10469
fixdynamicp,0.15,352,8618,8659
fixdynamicp,0.2,336,7143,7200
fixdynamicp,0.25,303,4827,4917
fixdynamicp,0.3,252,2375,2516
fixdynamicp,0.35,210,121,304
fixdynamicp,0.4,198,120,315
fixdynamicp,0.45,152,67,308
fixdynamicp,0.5,151,67,309
fixdynamicp,0.55,108,33,318
fixdynamicp,0.6,99,33,327
fixdynamicp,0.65,87,31,337
fixdynamicp,0.7,67,11,337
fixdynamicp,0.75,64,11,340
fixdynamicp,0.8,47,1,347
fixdynamicp,0.85,20,0,373
fixdynamicp,0.9,0,0,393
fixdynamicp,0.95,0,0,393
fixdynamicp,1.0,0,0,393
fixzeroinflated,0.0,385,10485,10493
fixzeroinflated,0.05,385,10485,10493
fixzeroinflated,0.1,385,10485,10493
fixzeroinflated,0.15,385,10485,10493
fixzeroinflated,0.2,365,10096,10124
fixzeroinflated,0.25,345,8608,8656
fixzeroinflated,0.3,332,7131,7192
fixzeroinflated,0.35,308,4829,4914
fixzeroinflated,0.4,281,2404,2516
fixzeroinflated,0.45,262,2379,2510
fixzeroinflated,0.5,230,133,296
fixzeroinflated,0.55,226,132,299
fixzeroinflated,0.6,214,96,275
fixzeroinflated,0.65,212,96,277
fixzeroinflated,0.7,209,87,271
fixzeroinflated,0.75,209,87,271
fixzeroinflated,0.8,197,65,261
fixzeroinflated,0.85,197,65,261
fixzeroinflated,0.9,141,11,263
fixzeroinflated,0.95,6,0,387
fixzeroinflated,1.0,0,0,393
fourA,0.0,385,10485,10493
fourA,0.05,385,10485,10493
fourA,0.1,385,10485,10493
fourA,0.15,385,10485,10493
fourA,0.2,379,10349,10363
fourA,0.25,367,9598,9624
fourA,0.3,348,7175,7220
fourA,0.35,322,4877,4948
fourA,0.4,287,2440,2546
fourA,0.45,258,186,321
fourA,0.5,220,134,307
fourA,0.55,191,75,277
fourA,0.6,146,26,273
fourA,0.65,107,24,310
fourA,0.7,55,1,339
fourA,0.75,19,0,374
fourA,0.8,7,0,386
fourA,0.85,2,0,391
fourA,0.9,0,0,393
fourA,0.95,0,0,393
fourA,1.0,0,0,393
fourfiveA,0.0,385,10485,10493
fourfiveA,0.05,385,10485,10493
fourfiveA,0.1,385,10485,10493
fourfiveA,0.15,385,10485,10493
fourfiveA,0.2,371,10106,10128
fourfiveA,0.25,357,8638,8674
fourfiveA,0.3,331,4884,4946
fourfiveA,0.35,314,2479,2558
fourfiveA,0.4,286,2439,2546
fourfiveA,0.45,254,187,326
fourfiveA,0.5,218,135,310
fourfiveA,0.55,190,75,278
fourfiveA,0.6,142,26,277
fourfiveA,0.65,102,24,315
fourfiveA,0.7,55,1,339
fourfiveA,0.75,17,0,376
fourfiveA,0.8,7,0,386
fourfiveA,0.85,1,0,392
fourfiveA,0.9,0,0,393
fourfiveA,0.95,0,0,393
fourfiveA,1.0,0,0,393
goniwindow4,0.0,385,10485,10493
goniwindow4,0.05,385,10485,10493
goniwindow4,0.1,379,10349,10363
goniwindow4,0.15,357,8638,8674
goniwindow4,0.2,322,4876,4947
goniwindow4,0.25,288,2439,2544
goniwindow4,0.3,264,2399,2528
goniwindow4,0.35,219,135,309
goniwindow4,0.4,186,76,283
goniwindow4,0.45,158,69,304
goniwindow4,0.5,102,25,316
goniwindow4,0.55,100,25,318
goniwindow4,0.6,64,22,351
goniwindow4,0.65,52,22,363
goniwindow4,0.7,26,1,368
goniwindow4,0.75,8,0,385
goniwindow4,0.8,4,0,389
goniwindow4,0.85,1,0,392
goniwindow4,0.9,0,0,393
goniwindow4,0.95,0,0,393
goniwindow4,1.0,0,0,393
gradual_zib,0.0,385,10485,10493
gradual_zib,0.05,385,10485,10493
gradual_zib,0.1,366,10094,10121
gradual_zib,0.15,329,7117,7181
gradual_zib,0.2,279,2397,2511
gradual_zib,0.25,234,148,307
gradual_zib,0.3,202,114,305
gradual_zib,0.35,181,70,282
gradual_zib,0.4,149,33,277
gradual_zib,0.45,131,30,292
gradual_zib,0.5,100,6,299
gradual_zib,0.55,100,6,299
gradual_zib,0.6,69,2,326
gradual_zib,0.65,62,2,333
gradual_zib,0.7,46,0,347
gradual_zib,0.75,21,0,372
gradual_zib,0.8,10,0,383
gradual_zib,0.85,0,0,393
gradual_zib,0.9,0,0,393
gradual_zib,0.95,0,0,393
gradual_zib,1.0,0,0,393
gradualnewmixture275,0.0,385,10485,10493
gradualnewmixture275,0.05,385,10485,10493
gradualnewmixture275,0.1,385,10485,10493
gradualnewmixture275,0.15,369,10097,10121
gradualnewmixture275,0.2,349,8612,8656
gradualnewmixture275,0.25,333,7136,7196
gradualnewmixture275,0.3,298,4823,4918
gradualnewmixture275,0.35,268,2401,2526
gradualnewmixture275,0.4,247,2370,2516
gradualnewmixture275,0.45,209,117,301
gradualnewmixture275,0.5,189,68,272
gradualnewmixture275,0.55,167,62,288
gradualnewmixture275,0.6,141,38,290
gradualnewmixture275,0.65,132,38,299
gradualnewmixture275,0.7,131,37,299
gradualnewmixture275,0.75,117,17,293
gradualnewmixture275,0.8,114,17,296
gradualnewmixture275,0.85,73,0,320
gradualnewmixture275,0.9,31,0,362
gradualnewmixture275,0.95,0,0,393
gradualnewmixture275,1.0,0,0,393
gradualprior,0.0,385,10485,10493
gradualprior,0.05,385,10485,10493
gradualprior,0.1,379,10349,10363
gradualprior,0.15,357,8638,8674
gradualprior,0.2,322,4876,4947
gradualprior,0.25,286,2440,2547
gradualprior,0.3,262,2398,2529
gradualprior,0.35,219,133,307
gradualprior,0.4,189,74,278
gradualprior,0.45,161,68,300
gradualprior,0.5,101,24,316
gradualprior,0.55,99,24,318
gradualprior,0.6,63,21,351
gradualprior,0.65,51,21,363
gradualprior,0.7,26,1,368
gradualprior,0.75,8,0,385
gradualprior,0.8,4,0,389
gradualprior,0.85,1,0,392
gradualprior,0.9,0,0,393
gradualprior,0.95,0,0,393
gradualprior,1.0,0,0,393
gradualtest,0.0,385,10485,10493
gradualtest,0.05,385,10485,10493
gradualtest,0.1,385,10485,10493
gradualtest,0.15,382,10480,10491
gradualtest,0.2,355,9580,9618
gradualtest,0.25,329,7127,7191
gradualtest,0.3,309,4827,4911
gradualtest,0.35,281,2411,2523
gradualtest,0.4,243,154,304
gradualtest,0.45,225,121,289
gradualtest,0.5,195,73,271
gradualtest,0.55,181,66,278
gradualtest,0.6,157,31,267
gradualtest,0.65,150,31,274
gradualtest,0.7,131,7,269
gradualtest,0.75,105,2,290
gradualtest,0.8,78,0,315
gradualtest,0.85,56,0,337
gradualtest,0.9,6,0,387
gradualtest,0.95,0,0,393
gradualtest,1.0,0,0,393
graphs,0.0,385,10485,10493
graphs,0.05,385,10485,10493
graphs,0.1,376,10345,10362
graphs,0.15,351,8618,8660
graphs,0.2,311,4836,4918
graphs,0.25,272,2403,2524
graphs,0.3,247,2373,2519
graphs,0.35,209,124,308
graphs,0.4,175,76,294
graphs,0.45,151,70,312
graphs,0.5,109,33,317
graphs,0.55,107,33,319
graphs,0.6,94,32,331
graphs,0.65,88,32,337
graphs,0.7,67,9,335
graphs,0.75,51,1,343
graphs,0.8,36,0,357
graphs,0.85,23,0,370
graphs,0.9,1,0,392
graphs,0.95,0,0,393
graphs,1.0,0,0,393
graphs_halfa,0.0,385,10485,10493
graphs_halfa,0.05,385,10485,10493
graphs_halfa,0.1,385,10485,10493
graphs_halfa,0.15,382,10480,10491
graphs_halfa,0.2,355,9579,9617
graphs_halfa,0.25,331,7127,7189
graphs_halfa,0.3,310,4826,4909
graphs_halfa,0.35,284,2415,2524
graphs_halfa,0.4,241,158,310
graphs_halfa,0.45,222,122,293
graphs_halfa,0.5,198,75,270
graphs_halfa,0.55,179,68,282
graphs_halfa,0.6,151,31,273
graphs_halfa,0.65,141,31,283
graphs_halfa,0.7,118,8,283
graphs_halfa,0.75,93,2,302
graphs_halfa,0.8,69,0,324
graphs_halfa,0.85,51,0,342
graphs_halfa,0.9,6,0,387
graphs_halfa,0.95,0,0,393
graphs_halfa,1.0,0,0,393
halfa,0.0,385,10485,10493
halfa,0.05,385,10485,10493
halfa,0.1,385,10485,10493
halfa,0.15,383,10480,10490
halfa,0.2,367,9597,9623
halfa,0.25,348,7176,7221
halfa,0.3,330,4886,4949
halfa,0.35,304,2467,2556
halfa,0.4,257,186,322
halfa,0.45,232,133,294
halfa,0.5,191,74,276
halfa,0.55,166,68,295
halfa,0.6,119,24,298
halfa,0.65,101,24,316
halfa,0.7,54,1,340
halfa,0.75,17,0,376
halfa,0.8,6,0,387
halfa,0.85,1,0,392
halfa,0.9,0,0,393
halfa,0.95,0,0,393
halfa,1.0,0,0,393
halfa_ainc,0.0,385,10485,10493
halfa_ainc,0.05,385,10485,10493
halfa_ainc,0.1,385,10485,10493
halfa_ainc,0.15,383,10480,10490
halfa_ainc,0.2,358,9580,9615
halfa_ainc,0.25,334,7129,7188
halfa_ainc,0.3,313,4828,4908
halfa_ainc,0.35,285,2417,2525
halfa_ainc,0.4,240,161,314
halfa_ainc,0.45,220,123,296
halfa_ainc,0.5,189,75,279
halfa_ainc,0.55,170,68,291
halfa_ainc,0.6,143,32,282
halfa_ainc,0.65,135,32,290
halfa_ainc,0.7,112,9,290
halfa_ainc,0.75,90,1,304
halfa_ainc,0.8,64,0,329
halfa_ainc,0.85,44,0,349
halfa_ainc,0.9,6,0,387
halfa_ainc,0.95,0,0,393
halfa_ainc,1.0,0,0,393
halfa_closedform,0.0,385,10485,10493
halfa_closedform,0.05,385,10485,10493
halfa_closedform,0.1,385,10485,10493
halfa_closedform,0.15,385,10485,10493
halfa_closedform,0.2,367,10094,10120
halfa_closedform,0.25,349,8603,8647
halfa_closedform,0.3,337,7127,7183
halfa_closedform,0.35,313,4825,4905
halfa_closedform,0.4,283,2405,2515
halfa_closedform,0.45,264,2379,2508
halfa_closedform,0.5,230,132,295
halfa_closedform,0.55,225,131,299
halfa_closedform,0.6,213,98,278
halfa_closedform,0.65,209,98,282
halfa_closedform,0.7,206,88,275
halfa_closedform,0.75,206,86,273
halfa_closedform,0.8,192,64,265
halfa_closedform,0.85,192,64,265
halfa_closedform,0.9,135,9,267
halfa_closedform,0.95,6,0,387
halfa_closedform,1.0,0,0,393
joe25,0.0,385,10485,10493
joe25,0.05,385,10485,10493
joe25,0.1,385,10485,10493
joe25,0.15,385,10485,10493
joe25,0.2,385,10485,10493
joe25,0.25,385,10485,10493
joe25,0.3,385,10485,10493
joe25,0.35,382,10480,10491
joe25,0.4,377,10347,10363
joe25,0.45,367,10102,10128
joe25,0.5,363,9593,9623
joe25,0.55,363,9593,9623
joe25,0.6,354,8633,8672
joe25,0.65,354,8633,8672
joe25,0.7,344,7161,7210
joe25,0.75,342,7161,7212
joe25,0.8,318,4862,4937
joe25,0.85,318,4862,4937
joe25,0.9,308,4848,4933
joe25,0.95,308,4848,4933
joe25,1.0,0,0,393
joe5,0.0,385,10485,10493
joe5,0.05,385,10485,10493
joe5,0.1,385,10485,10493
joe5,0.15,385,10485,10493
joe5,0.2,377,10347,10363
joe5,0.25,363,9593,9623
joe5,0.3,354,8633,8672
joe5,0.35,344,7161,7210
joe5,0.4,318,4862,4937
joe5,0.45,308,4848,4933
joe5,0.5,280,2429,2542
joe5,0.55,277,2429,2545
joe5,0.6,255,2388,2526
joe5,0.65,255,2388,2526
joe5,0.7,212,131,312
joe5,0.75,202,130,321
joe5,0.8,180,74,287
joe5,0.85,180,74,287
joe5,0.9,153,68,308
joe5,0.95,149,68,312
joe5,1.0,0,0,393
joe75,0.0,385,10485,10493
joe75,0.05,385,10485,10493
joe75,0.1,385,10485,10493
joe75,0.15,367,10102,10128
joe75,0.2,354,8633,8672
joe75,0.25,342,7161,7212
joe75,0.3,308,4848,4933
joe75,0.35,280,2429,2542
joe75,0.4,255,2388,2526
joe75,0.45,212,131,312
joe75,0.5,202,130,321
joe75,0.55,180,74,287
joe75,0.6,153,68,308
joe75,0.65,149,68,312
joe75,0.7,97,23,319
joe75,0.75,91,23,325
joe75,0.8,61,21,353
joe75,0.85,50,21,364
joe75,0.9,23,1,371
joe75,0.95,23,1,371
joe75,1.0,0,0,393
joe9,0.0,385,10485,10493
joe9,0.05,385,10485,10493
joe9,0.1,382,10480,10491
joe9,0.15,360,9582,9615
joe9,0.2,332,7133,7194
joe9,0.25,292,4814,4915
joe9,0.3,266,2395,2522
joe9,0.35,242,2365,2516
joe9,0.4,207,118,304
joe9,0.45,184,74,283
joe9,0.5,166,68,295
joe9,0.55,165,68,296
joe9,0.6,135,42,300
joe9,0.65,128,42,307
joe9,0.7,127,41,307
joe9,0.75,116,18,295
joe9,0.8,115,18,296
joe9,0.85,97,2,298
joe9,0.9,77,0,316
joe9,0.95,47,0,346
joe9,1.0,0,0,393
joe95,0.0,385,10485,10493
joe95,0.05,382,10480,10491
joe95,0.1,349,8612,8656
joe95,0.15,317,4825,4901
joe95,0.2,288,2411,2516
joe95,0.25,269,2388,2512
joe95,0.3,236,151,308
joe95,0.35,207,115,301
joe95,0.4,182,73,284
joe95,0.45,160,67,300
joe95,0.5,155,67,305
joe95,0.55,131,46,308
joe95,0.6,129,46,310
joe95,0.65,125,46,314
joe95,0.7,124,45,314
joe95,0.75,121,45,317
joe95,0.8,112,21,302
joe95,0.85,112,21,302
joe95,0.9,92,2,303
joe95,0.95,47,0,346
joe95,1.0,0,0,393
mixturep03,0.0,385,10485,10493
mixturep03,0.05,385,10485,10493
mixturep03,0.1,385,10485,10493
mixturep03,0.15,381,10457,10469
mixturep03,0.2,349,8620,8664
mixturep03,0.25,310,4842,4925
mixturep03,0.3,272,2410,2531
mixturep03,0.35,247,2377,2523
mixturep03,0.4,207,125,311
mixturep03,0.45,175,74,292
mixturep03,0.5,151,68,310
mixturep03,0.55,114,34,313
mixturep03,0.6,104,34,323
mixturep03,0.65,96,32,329
mixturep03,0.7,73,11,331
mixturep03,0.75,71,11,333
mixturep03,0.8,54,1,340
mixturep03,0.85,26,0,367
mixturep03,0.9,3,0,390
mixturep03,0.95,0,0,393
mixturep03,1.0,0,0,393
mixturep05,0.0,385,10485,10493
mixturep05,0.05,385,10485,10493
mixturep05,0.1,385,10485,10493
mixturep05,0.15,385,10485,10493
mixturep05,0.2,366,10100,10127
mixturep05,0.25,336,7143,7200
mixturep05,0.3,298,4825,4920
mixturep05,0.35,248,2373,2518
mixturep05,0.4,210,124,307
mixturep05,0.45,181,75,287
mixturep05,0.5,157,69,305
mixturep05,0.55,119,33,307
mixturep05,0.6,116,33,310
mixturep05,0.65,104,31,320
mixturep05,0.7,84,10,319
mixturep05,0.75,81,10,322
mixturep05,0.8,62,1,332
mixturep05,0.85,27,0,366
mixturep05,0.9,3,0,390
mixturep05,0.95,0,0,393
mixturep05,1.0,0,0,393
mixturep07,0.0,385,10485,10493
mixturep07,0.05,385,10485,10493
mixturep07,0.1,385,10485,10493
mixturep07,0.15,385,10485,10493
mixturep07,0.2,385,10485,10493
mixturep07,0.25,360,9590,9623
mixturep07,0.3,308,4840,4925
mixturep07,0.35,271,2407,2529
mixturep07,0.4,247,2376,2522
mixturep07,0.45,199,125,319
mixturep07,0.5,164,69,298
mixturep07,0.55,159,69,303
mixturep07,0.6,117,36,312
mixturep07,0.65,105,35,323
mixturep07,0.7,86,14,321
mixturep07,0.75,82,14,325
mixturep07,0.8,64,2,331
mixturep07,0.85,32,0,361
mixturep07,0.9,4,0,389
mixturep07,0.95,0,0,393
mixturep07,1.0,0,0,393
mixturep1,0.0,385,10485,10493
mixturep1,0.05,385,10485,10493
mixturep1,0.1,385,10485,10493
mixturep1,0.15,385,10485,10493
mixturep1,0.2,385,10485,10493
mixturep1,0.25,385,10485,10493
mixturep1,0.3,350,8621,8664
mixturep1,0.35,310,4845,4928
mixturep1,0.4,270,2413,2536
mixturep1,0.45,211,127,309
mixturep1,0.5,185,76,284
mixturep1,0.55,161,69,301
mixturep1,0.6,126,35,302
mixturep1,0.65,115,35,313
mixturep1,0.7,109,34,318
mixturep1,0.75,93,13,313
mixturep1,0.8,71,2,324
mixturep1,0.85,53,0,340
mixturep1,0.9,7,0,386
mixturep1,0.95,0,0,393
mixturep1,1.0,0,0,393
mixturep15,0.0,385,10485,10493
mixturep15,0.05,385,10485,10493
mixturep15,0.1,385,10485,10493
mixturep15,0.15,385,10485,10493
mixturep15,0.2,385,10485,10493
mixturep15,0.25,385,10485,10493
mixturep15,0.3,385,10485,10493
mixturep15,0.35,368,10102,10127
mixturep15,0.4,332,7155,7216
mixturep15,0.45,275,2423,2541
mixturep15,0.5,218,130,305
mixturep15,0.55,194,79,278
mixturep15,0.6,175,72,290
mixturep15,0.65,151,45,287
mixturep15,0.7,143,44,294
mixturep15,0.75,130,23,286
mixturep15,0.8,106,7,294
mixturep15,0.85,85,0,308
mixturep15,0.9,16,0,377
mixturep15,0.95,0,0,393
mixturep15,1.0,0,0,393
mixturep1again,0.0,385,10485,10493
mixturep1again,0.05,385,10485,10493
mixturep1again,0.1,385,10485,10493
mixturep1again,0.15,385,10485,10493
mixturep1again,0.2,385,10485,10493
mixturep1again,0.25,385,10485,10493
mixturep1again,0.3,348,8619,8664
mixturep1again,0.35,311,4841,4923
mixturep1again,0.4,271,2413,2535
mixturep1again,0.45,212,129,310
mixturep1again,0.5,188,77,282
mixturep1again,0.55,165,70,298
mixturep1again,0.6,132,38,299
mixturep1again,0.65,121,38,310
mixturep1again,0.7,116,37,314
mixturep1again,0.75,102,16,307
mixturep1again,0.8,80,2,315
mixturep1again,0.85,62,0,331
mixturep1again,0.9,10,0,383
mixturep1again,0.95,0,0,393
mixturep1again,1.0,0,0,393
mixturep3,0.0,385,10485,10493
mixturep3,0.05,385,10485,10493
mixturep3,0.1,385,10485,10493
mixturep3,0.15,385,10485,10493
mixturep3,0.2,385,10485,10493
mixturep3,0.25,385,10485,10493
mixturep3,0.3,385,10485,10493
mixturep3,0.35,385,10485,10493
mixturep3,0.4,385,10485,10493
mixturep3,0.45,385,10485,10493
mixturep3,0.5,385,10485,10493
mixturep3,0.55,385,10485,10493
mixturep3,0.6,385,10485,10493
mixturep3,0.65,378,8293,8308
mixturep3,0.7,378,8293,8308
mixturep3,0.75,378,8293,8308
mixturep3,0.8,368,8253,8278
